iter	Passed	Remaining
402	11829	17523
403	11874	17517
404	11899	17481
405	11928	17451
406	11954	17418
407	11979	17382
408	12011	17357
409	12043	17330
410	12073	17301
411	12097	17264
412	12133	17244
413	12208	17281
414	12287	17320
415	12372	17368
416	12403	17341
417	12433	17311
418	12465	17285
419	12492	17250
420	12515	17212
421	12538	17173
422	12568	17143
423	12594	17109
424	12623	17079
425	12648	17042
426	12676	17011
427	12703	16977
428	12731	16945
429	12757	16910
430	12787	16881
431	12814	16848
432	12842	16816
433	12870	16785
434	12899	16754
435	12926	16721
436	12956	16692
437	12980	16654
438	13012	16628
439	13036	16592
440	13064	16560
441	13087	16521
442	13109	16482
443	13147	16464
444	13209	16475
445	13271	16485
446	13349	16515
447	13396	16506
448	13420	16469
449	13444	16432
450	13468	16395
451	13491	16356
452	13520	16326
453	13547	16292
454	13576	16261
455	13598	16223
456	13624	16188
457	13651	16155
458	13678	16122
459	13701	16084
460	13724	16046
461	13749	16011
462	13774	15976
463	13797	15937
464	13820	15900
465	13843	15864
466	13869	15829
467	13894	15794
468	13917	15756
469	13940	15719
470	13965	15685
471	13987	15646
472	14010	15609
473	14034	15574
474	14062	15542
475	14085	15505
476	14111	15472
477	14144	15445
478	14189	15433
479	14221	15406
480	14257	15384
481	14309	15377
482	14368	15379
483	14404	15356
484	14425	15318
485	14450	15282
486	14473	15246
487	14499	15212
488	14522	15175
489	14544	15138
490	14569	15103
491	14594	15069
492	14616	15031
493	14638	14994
494	14661	14957
495	14688	14925
496	14709	14887
497	14732	14851
498	14755	14814
499	14782	14782
500	14804	14745
501	14827	14709
502	14851	14673
503	14876	14640
504	14899	14604
505	14921	14568
506	14946	14533
507	14976	14504
508	14999	14469
509	15027	14438
510	15055	14407
511	15081	14374
512	15106	14340
513	15145	14320
514	15185	14301
515	15228	14284
516	15303	14297
517	15385	14316
518	15412	14284
519	15435	14247
520	15461	14215
521	15486	14181
522	15508	14144
523	15529	14106
524	15553	14072
525	15579	14039
526	15601	14002
527	15630	13972
528	15661	13944
529	15686	13910
530	15709	13875
531	15731	13839
532	15754	13803
533	15779	13769
534	15801	13733
535	15824	13698
536	15846	13662
537	15872	13630
538	15896	13595
539	15919	13561
540	15942	13526
541	15971	13496
542	15994	13461
543	16019	13427
544	16047	13397
545	16073	13365
546	16097	13331
547	16138	13310
548	16195	13304
549	16240	13287
550	16340	13315
551	16408	13317
552	16456	13301
553	16507	13289
554	16556	13275
555	16614	13267
556	16643	13237
557	16697	13226
558	16739	13205
559	16768	13175
560	16815	13159
561	16848	13131
562	16869	13094
563	16891	13057
564	16918	13025
565	16940	12989
566	16963	12954
567	16985	12918
568	17013	12887
569	17035	12851
570	17063	12819
571	17084	12783
572	17124	12761
573	17171	12744
574	17219	12727
575	17266	12709
576	17304	12686
577	17361	12675
578	17381	12638
579	17403	12602
580	17432	12571
581	17456	12537
582	17478	12501
583	17499	12465
584	17524	12432
585	17547	12397
586	17572	12363
587	17593	12327
588	17618	12294
589	17643	12260
590	17665	12225
591	17690	12191
592	17717	12160
593	17741	12126
594	17763	12090
595	17787	12057
596	17812	12024
597	17837	11991
598	17860	11956
599	17883	11922
600	17907	11888
601	17933	11856
602	17956	11822
603	17978	11787
604	18002	11753
605	18026	11720
606	18051	11687
607	18074	11653
608	18103	11622
609	18137	11596
610	18175	11571
611	18213	11547
612	18254	11524
613	18292	11499
614	18358	11492
615	18418	11481
616	18448	11452
617	18471	11417
618	18497	11385
619	18523	11353
620	18547	11319
621	18569	11285
622	18591	11250
623	18619	11219
624	18642	11185
625	18665	11151
626	18686	11116
627	18713	11084
628	18737	11052
629	18762	11019
630	18787	10986
631	18816	10956
632	18837	10921
633	18862	10889
634	18884	10854
635	18912	10824
636	18933	10789
637	18954	10754
638	18978	10721
639	19002	10688
640	19028	10657
641	19049	10622
642	19071	10588
643	19101	10559
644	19131	10529
645	19166	10503
646	19223	10488
647	19277	10471
648	19327	10452
649	19382	10436
650	19409	10405
651	19433	10372
652	19463	10342
653	19487	10309
654	19514	10278
655	19544	10248
656	19572	10218
657	19596	10185
658	19619	10151
659	19640	10117
660	19663	10084
661	19694	10055
662	19716	10022
663	19740	9989
664	19764	9956
665	19789	9924
666	19811	9890
667	19834	9857
668	19859	9825
669	19884	9793
670	19909	9761
671	19931	9728
672	19955	9695
673	19980	9664
674	20005	9632
675	20027	9598
676	20050	9566
677	20077	9535
678	20109	9506
679	20149	9482
680	20201	9463
681	20243	9439
682	20299	9421
683	20341	9397
684	20378	9371
685	20403	9339
686	20424	9305
687	20447	9272
688	20473	9241
689	20496	9208
690	20518	9175
691	20540	9142
692	20568	9112
693	20591	9079
694	20613	9046
695	20639	9014
696	20663	8982
697	20687	8950
698	20709	8918
699	20734	8886
700	20759	8854
701	20783	8822
702	20805	8789
703	20827	8757
704	20854	8726
705	20878	8694
706	20902	8662
707	20925	8630
708	20951	8599
709	20979	8569
710	21009	8539
711	21033	8507
712	21059	8477
713	21090	8447
714	21129	8422
715	21182	8402
716	21237	8382
717	21313	8370
718	21349	8343
719	21374	8312
720	21398	8280
721	21421	8248
722	21447	8216
723	21471	8185
724	21494	8153
725	21517	8120
726	21537	8087
727	21564	8057
728	21587	8024
729	21609	7992
730	21633	7960
731	21659	7930
732	21683	7898
733	21704	7865
734	21728	7833
735	21750	7801
736	21774	7770
737	21796	7738
738	21818	7706
739	21844	7675
740	21869	7644
741	21895	7613
742	21916	7580
743	21940	7549
744	21965	7518
745	21991	7487
746	22016	7456
747	22040	7425
748	22064	7394
749	22104	7368
750	22139	7340
751	22183	7315
752	22224	7289
753	22283	7270
754	22334	7247
755	22380	7223
756	22409	7193
757	22432	7161
758	22458	7131
759	22480	7099
760	22504	7067
761	22529	7036
762	22556	7006
763	22584	6976
764	22623	6949
765	22645	6917
766	22670	6886
767	22695	6855
768	22719	6824
769	22741	6793
770	22763	6761
771	22788	6730
772	22810	6698
773	22834	6667
774	22856	6635
775	22880	6604
776	22903	6573
777	22926	6541
778	22949	6510
779	22975	6480
780	23000	6449
781	23022	6418
782	23046	6387
783	23093	6362
784	23175	6347
785	23263	6333
786	23352	6320
787	23374	6288
788	23403	6258
789	23425	6227
790	23454	6197
791	23500	6171
792	23553	6148
793	23603	6123
794	23657	6100
795	23700	6073
796	23733	6045
797	23761	6014
798	23783	5983
799	23811	5952
800	23833	5921
801	23857	5890
802	23883	5859
803	23909	5828
804	23933	5797
805	23957	5766
806	23980	5735
807	24011	5705
808	24038	5675
809	24072	5646
810	24105	5617
811	24163	5594
812	24282	5585
813	24367	5568
814	24423	5543
815	24453	5513
816	24477	5482
817	24499	5450
818	24523	5419
819	24548	5388
820	24574	5357
821	24597	5326
822	24623	5295
823	24650	5265
824	24673	5233
825	24696	5202
826	24721	5171
827	24745	5140
828	24771	5109
829	24793	5078
830	24818	5047
831	24843	5016
832	24869	4985
833	24890	4954
834	24912	4922
835	24938	4892
836	24961	4861
837	24985	4830
838	25005	4798
839	25030	4767
840	25055	4737
841	25106	4711
842	25225	4697
843	25351	4685
844	25395	4658
845	25422	4627
846	25451	4597
847	25490	4569
848	25523	4539
849	25563	4511
850	25590	4480
851	25620	4450
852	25656	4421
853	25685	4391
854	25710	4360
855	25736	4329
856	25781	4301
857	25818	4272
858	25877	4247
859	25944	4223
860	26011	4199
861	26116	4181
862	26200	4159
863	26301	4140
864	26358	4113
865	26389	4083
866	26427	4054
867	26455	4023
868	26482	3992
869	26508	3961
870	26536	3930
871	26562	3899
872	26590	3868
873	26621	3837
874	26650	3807
875	26675	3775
876	26706	3745
877	26731	3714
878	26756	3683
879	26784	3652
880	26811	3621
881	26838	3590
882	26864	3559
883	26891	3528
884	26920	3498
885	26951	3467
886	26978	3436
887	27004	3405
888	27033	3375
889	27097	3349
890	27205	3328
891	27258	3300
892	27308	3272
893	27333	3240
894	27357	3209
895	27380	3178
896	27402	3146
897	27427	3115
898	27452	3084
899	27475	3052
900	27498	3021
901	27520	2989
902	27546	2958
903	27569	2927
904	27593	2896
905	27614	2865
906	27641	2834
907	27664	2803
908	27686	2771
909	27710	2740
910	27736	2709
911	27763	2678
912	27788	2647
913	27810	2616
914	27837	2586
915	27860	2554
916	27883	2523
917	27907	2492
918	27930	2461
919	27955	2430
920	27984	2400
921	28017	2370
922	28064	2341
923	28110	2312
924	28181	2284
925	28245	2257
926	28316	2229
927	28363	2200
928	28391	2169
929	28416	2138
930	28445	2108
931	28475	2077
932	28511	2047
933	28541	2016
934	28571	1986
935	28600	1955
936	28628	1924
937	28662	1894
938	28711	1865
939	28745	1834
940	28777	1804
941	28805	1773
942	28833	1742
943	28856	1711
944	28881	1680
945	28912	1650
946	28942	1619
947	28967	1588
948	28997	1558
949	29034	1528
950	29087	1498
951	29142	1469
952	29197	1439
953	29266	1411
954	29363	1383
955	29391	1352
956	29414	1321
957	29441	1290
958	29468	1259
