iter	RMSE
120	0.4638444155
121	0.4628298114
122	0.4622700998
123	0.4614600885
124	0.4608163515
125	0.4600642985
126	0.459404965
127	0.4587910438
128	0.4580572847
129	0.4573981205
130	0.4569409253
131	0.4561793754
132	0.4554608857
133	0.4547991045
134	0.4543554364
135	0.4533199276
136	0.4525493136
137	0.4518558079
138	0.4511800425
139	0.4506567082
140	0.4502788961
141	0.4493464197
142	0.4486888422
143	0.4480066642
144	0.4475076721
145	0.4469891637
146	0.4463338182
147	0.445712411
148	0.4453400571
149	0.444961142
150	0.4442628904
151	0.4437431053
152	0.4431474447
153	0.4427549673
154	0.4421752943
155	0.4416062504
156	0.441111356
157	0.4405777342
158	0.4401619683
159	0.4395199338
160	0.4387897936
161	0.4382799227
162	0.4377366049
163	0.4368983442
164	0.4364671356
165	0.4359787141
166	0.4354648135
167	0.434764512
168	0.4343254918
169	0.4339747699
170	0.4334307748
171	0.4330638896
172	0.4323975589
173	0.4318404103
174	0.4314203673
175	0.4310457117
176	0.4304922252
177	0.4299632672
178	0.429457063
179	0.4291459317
180	0.4287238286
181	0.4283904525
182	0.4276049501
183	0.427034992
184	0.4266355727
185	0.4261219983
186	0.4257942176
187	0.4253283036
188	0.4249078607
189	0.42431406
190	0.4238538599
191	0.4234726934
192	0.4228628884
193	0.4224642526
194	0.4220578895
195	0.4216797918
196	0.4212673928
197	0.4209460231
198	0.4205636851
199	0.4199675202
200	0.419454548
201	0.419146378
202	0.4187760038
203	0.4184485089
204	0.41809719
205	0.4177866802
206	0.4169477392
207	0.4165161316
208	0.4160841922
209	0.4154875755
210	0.4150140764
211	0.4141667721
212	0.4137293708
213	0.4131992501
214	0.4127831539
215	0.4123759946
216	0.4120022652
217	0.4116933476
218	0.4112876088
219	0.4109215412
220	0.4105257999
221	0.4100698594
222	0.4096690548
223	0.4088429505
224	0.4081066126
225	0.4076805951
226	0.4074050956
227	0.4070568544
228	0.4065808043
229	0.4059937283
230	0.4057141812
231	0.4052371224
232	0.4047603737
233	0.404327876
234	0.4039061489
235	0.4036124167
236	0.4031812238
237	0.4028782894
238	0.4026294812
239	0.402318504
240	0.4018805234
241	0.4013113062
242	0.4010585221
243	0.4006888684
244	0.4001358279
245	0.3997447188
246	0.3993556858
247	0.3989944051
248	0.3985267205
249	0.3979145384
250	0.3974823005
251	0.3970464913
252	0.3966686055
253	0.3962509105
254	0.3958244743
255	0.395430742
256	0.3950967614
257	0.3945332214
258	0.3941772272
259	0.3937459187
260	0.3932808193
261	0.3930313949
262	0.3926261169
263	0.3922178036
264	0.3918499035
265	0.3912950614
266	0.3909330675
267	0.3902256867
268	0.3898593815
269	0.3894768145
270	0.3889126119
271	0.3885447551
272	0.3880947182
273	0.387784227
274	0.3874451433
275	0.3871131554
276	0.3867720509
277	0.3864899858
278	0.3860114432
279	0.3854896187
280	0.3850608274
281	0.384418925
282	0.3837552139
283	0.3833949756
284	0.3830616642
285	0.3827911945
286	0.3824782862
287	0.3822263379
288	0.3819670976
289	0.3817042395
290	0.3812878842
291	0.3809631156
292	0.3806625223
293	0.3800670621
294	0.3796981301
295	0.3791820643
296	0.3788568606
297	0.3785112612
298	0.3781406019
299	0.3778025586
300	0.3775244085
301	0.3771872594
302	0.3768771547
303	0.3763668157
304	0.37607327
305	0.3758401869
306	0.3755731208
307	0.3753385162
308	0.3749920971
309	0.3746949033
310	0.3743455375
311	0.3740055387
312	0.3736755996
313	0.3733584001
314	0.3731911827
315	0.3728090072
316	0.3725869578
317	0.3720502465
318	0.371756623
319	0.3715409514
320	0.3712348012
321	0.3710920544
322	0.3705901872
323	0.36997986
324	0.3694342293
325	0.3691415801
326	0.368762667
327	0.3683989451
328	0.3678579254
329	0.367590754
330	0.3672516466
331	0.3670374706
332	0.3666161317
333	0.3664296241
334	0.3661105481
335	0.3659103077
336	0.3653863379
337	0.3651885882
338	0.3649549374
339	0.3645935406
340	0.3644501704
341	0.363920393
342	0.3635783241
343	0.3633337199
344	0.3630843621
345	0.3627413256
346	0.3624070675
347	0.3622055952
348	0.3617940377
349	0.3615712391
350	0.3613195862
351	0.3610587925
352	0.3607384964
353	0.3604526315
354	0.3601213975
355	0.3598496834
356	0.3595729704
357	0.3593374635
358	0.3590105025
359	0.358662334
360	0.3584373454
361	0.3582382237
362	0.3580313903
363	0.357686769
364	0.3573217892
365	0.3568384787
366	0.3565681143
367	0.3563089881
368	0.3560999491
369	0.3557727012
370	0.3554793291
371	0.3552449792
372	0.3549013446
373	0.3546700573
374	0.3544091062
375	0.3540975464
376	0.353894805
377	0.3536396957
378	0.353451709
379	0.3531106991
380	0.3527574244
381	0.3524678177
382	0.3521929393
383	0.351925204
384	0.351545906
385	0.3513458418
386	0.3509398577
387	0.350571686
388	0.350291637
389	0.3500220109
390	0.3498709893
391	0.3496622736
392	0.3495482493
393	0.3493714642
394	0.3491657167
395	0.348927819
396	0.3486796859
397	0.34827783
398	0.3480469795
399	0.34785053
400	0.3476087055
401	0.3472967198
402	0.3471291674
403	0.3469148184
404	0.3466577687
405	0.3464901023
406	0.3460188872
407	0.3458466947
408	0.3456609434
409	0.3455048107
410	0.3449901874
411	0.3446719266
412	0.3444748838
413	0.3441356602
414	0.3437784726
415	0.3435517
416	0.3433320574
417	0.3431278238
418	0.3427868665
419	0.3425360484
420	0.3422095525
421	0.3418836158
422	0.3417021521
423	0.3415152056
424	0.3412431239
425	0.3409804569
426	0.340767019
427	0.3405885428
428	0.3404194277
429	0.3402776272
430	0.3400438269
431	0.3397411272
432	0.3394133655
433	0.3391944512
434	0.3388820529
435	0.3386116367
436	0.3383660793
437	0.3381279359
438	0.3378411586
439	0.3375428077
440	0.3373916459
441	0.3372155821
442	0.3370393998
443	0.3367534639
444	0.3364992703
445	0.3361572029
446	0.3359968459
447	0.3357110547
448	0.3354420194
449	0.3350949527
450	0.3348498151
451	0.3346007901
452	0.3344176035
453	0.3341760833
454	0.3338579876
455	0.3336136094
456	0.3334334048
457	0.3332102195
458	0.3328581771
459	0.3325879523
460	0.3322054058
461	0.3320433383
462	0.3317269879
463	0.3314826558
464	0.3312068413
465	0.3308927533
466	0.3307260225
467	0.3305534143
468	0.3303857088
469	0.3300863759
470	0.3299421211
471	0.3298195971
472	0.3295184722
473	0.3292813888
474	0.3291360285
475	0.3287860551
476	0.3286941404
477	0.3284638069
478	0.3282152001
479	0.3280219078
480	0.327839524
481	0.327673902
482	0.3273527736
483	0.3270987265
484	0.3269223968
485	0.326693653
486	0.3264825205
487	0.326155286
488	0.3258912133
489	0.3255718235
490	0.3254154331
491	0.3251372673
492	0.3250037841
493	0.3248591713
494	0.3244875971
495	0.3242897407
496	0.3241784457
497	0.3238998835
498	0.3236810355
499	0.3234831113
500	0.3232502456
501	0.3230428693
502	0.322834453
503	0.3225873216
504	0.3224629719
505	0.3222070473
506	0.3219464198
507	0.3217598413
508	0.3214294399
509	0.3212112514
510	0.3210287737
511	0.3208300241
512	0.3206395076
513	0.3204456823
514	0.3202734776
515	0.3199932472
516	0.3197099716
517	0.3194062856
518	0.3190846709
519	0.318849112
520	0.3184323348
521	0.3182652871
522	0.3180503889
523	0.3179270348
524	0.3176814798
525	0.3174313194
526	0.3172135023
527	0.3169947724
528	0.3168266464
529	0.316534684
530	0.3162919379
531	0.3161444112
532	0.31602204
533	0.3158855923
534	0.3156508025
535	0.3154524244
536	0.3153184865
537	0.3151463707
538	0.3148154721
539	0.314592189
540	0.3142452773
541	0.3140759901
542	0.313782269
543	0.3134996942
544	0.3133238542
545	0.3131156589
546	0.3129654447
547	0.3128417118
548	0.3125998946
549	0.3122557019
550	0.312012883
551	0.3118656338
552	0.3116231898
553	0.3112674951
554	0.3110119609
555	0.3108028681
556	0.3105537502
557	0.3103651399
558	0.310194808
559	0.3099977157
560	0.30969682
561	0.30941986
562	0.3093112952
563	0.3092214727
564	0.3090479047
565	0.3088656001
566	0.3086497721
567	0.308432524
568	0.3082474973
569	0.308078605
570	0.3077830239
571	0.3076846191
572	0.3074587176
573	0.3073368588
574	0.3071539637
575	0.3070586264
576	0.3069193335
577	0.3067490711
578	0.3066128827
579	0.3064432159
580	0.3062571677
581	0.3060424527
582	0.305893913
583	0.3056169489
584	0.3054455698
585	0.305344091
586	0.3050544018
587	0.3048267555
588	0.3046667296
589	0.3045226123
590	0.3042811685
591	0.3040690168
592	0.3038697692
593	0.303683284
594	0.3033445924
595	0.3031824319
596	0.3029902129
597	0.3028376142
598	0.3025888474
599	0.3023274484
600	0.3022031922
601	0.3020580367
602	0.3018872903
603	0.3015873266
604	0.3014539825
605	0.301259107
606	0.3010446651
607	0.3007142705
608	0.3004107255
609	0.3002571554
610	0.3001238713
611	0.2998869504
612	0.2996834322
613	0.299447698
614	0.2993013506
615	0.2990656432
616	0.2989308039
617	0.2987973024
618	0.2986138917
619	0.298360536
620	0.2981492509
621	0.2978946617
622	0.2977366212
623	0.2974835578
624	0.2972382594
625	0.2970964416
626	0.2969624955
627	0.2968116453
628	0.2967006625
629	0.2965350915
630	0.2963016285
631	0.2961253885
632	0.2959520016
633	0.2958066428
634	0.2956772178
635	0.2954898554
636	0.2952659326
637	0.2951661186
638	0.2949905963
639	0.2948239312
640	0.2946569233
641	0.2945168794
642	0.2944121226
643	0.2943315669
644	0.2941515925
645	0.2940333741
646	0.2938778243
647	0.2937167151
648	0.2935395213
649	0.2933856561
650	0.2931457293
651	0.2930256934
652	0.2927619278
653	0.2925003517
654	0.2923299024
655	0.2920459398
656	0.2918706924
657	0.2917069225
658	0.2914949985
659	0.2912409504
660	0.2910925709
661	0.2909384586
662	0.2906546787
663	0.2904911091
664	0.2902739718
665	0.2901214412
666	0.2899846039
667	0.2898524214
668	0.2897004325
669	0.2894348783
670	0.2892803605
671	0.2891824377
672	0.2888898582
673	0.2887121942
674	0.2884645042
675	0.288246075
676	0.2881343417
677	0.2879959793
678	0.2877793225
679	0.2876145473
680	0.2874724216
681	0.287292205
682	0.2871702817
683	0.2868931885
684	0.2868032943
685	0.286593034
686	0.2864137694
687	0.2862924932
688	0.2861430598
689	0.2859951218
690	0.2858158704
691	0.2856902315
692	0.2854658443
693	0.2853033641
694	0.2851810984
695	0.2849962557
696	0.2848221476
697	0.2846504413
698	0.2844038686
699	0.2843049844
700	0.2841413202
701	0.2839541619
702	0.2837870586
703	0.2835622643
704	0.2833880175
705	0.2831267854
706	0.2829291693
707	0.282733697
708	0.2825256885
709	0.282456099
710	0.2823090106
711	0.2821917489
712	0.282059417
713	0.281886979
714	0.2817121216
715	0.2815624765
716	0.2814465019
717	0.2813358178
718	0.2812144287
719	0.28104829
720	0.2809396816
721	0.2807771258
722	0.2805476116
723	0.2804118453
724	0.2802679498
725	0.2801128529
726	0.2800399315
727	0.2798064554
728	0.2796200305
729	0.2795107139
730	0.2793874604
731	0.2792120896
732	0.2789663018
733	0.2787835269
734	0.2786500612
735	0.2784822191
736	0.2783701203
737	0.2782333852
738	0.2781032106
739	0.2779441172
740	0.277723554
741	0.2775069116
742	0.2774188376
743	0.2772025416
744	0.2770679795
745	0.2769348145
746	0.2767720869
747	0.2765635454
748	0.2764022726
749	0.2762069492
750	0.2759064561
751	0.2757339841
752	0.2755360367
753	0.2754075481
754	0.2752180214
755	0.2750720599
756	0.2749558693
757	0.2748574634
758	0.2747545644
759	0.2745471479
760	0.2744146726
761	0.2743158575
762	0.2742555066
763	0.2740359313
764	0.2739218913
765	0.2737224664
766	0.2736175226
767	0.2734568714
768	0.2733608426
769	0.2732745352
770	0.2730775483
771	0.2729616986
772	0.2727117732
773	0.2725785881
774	0.2723915105
775	0.2722693485
776	0.2721030921
777	0.2720127156
778	0.2718803585
779	0.2717111812
780	0.2715868542
781	0.2715063438
782	0.2713206197
783	0.2711584735
784	0.2710418642
785	0.2708771251
786	0.2707573696
787	0.2705649007
788	0.2703096479
789	0.2701823282
790	0.2699186469
791	0.2697831488
792	0.2696247118
793	0.2694931972
794	0.2693253133
795	0.2691820096
796	0.2689407135
797	0.2687946997
798	0.2686071002
799	0.2684628247
800	0.2682962271
801	0.2682011769
802	0.268060468
803	0.2678850713
804	0.2677378998
805	0.2676477316
806	0.2675121441
807	0.2673220032
808	0.2672492693
809	0.2671150516
810	0.2670254657
811	0.2669145322
812	0.266839242
813	0.2666314571
814	0.2665093493
815	0.2662828579
816	0.2659716166
817	0.2658624609
818	0.2656977004
819	0.2655418679
820	0.2652667871
821	0.2651161048
822	0.2649805127
823	0.2648924943
824	0.2647682045
825	0.2645799082
826	0.2644890103
827	0.2642942595
828	0.2641577817
829	0.2640731618
830	0.2638944425
831	0.2637703025
832	0.2636134465
833	0.2634133469
834	0.2632109189
835	0.2631189766
836	0.2629286149
837	0.2628348057
838	0.2627304142
839	0.2626697013
840	0.2625427395
841	0.2623714219
842	0.2622709898
843	0.2620528295
844	0.2619460197
845	0.2618451935
846	0.2616894147
847	0.2614868029
848	0.2613877778
849	0.2612157455
850	0.261084953
851	0.2609701208
852	0.2607794455
853	0.2606602215
854	0.2605413277
855	0.2604377403
856	0.2603241292
857	0.2601317204
858	0.2599942062
859	0.2599215239
860	0.2597147928
861	0.2595589955
862	0.2594829455
863	0.2593610681
864	0.259180143
865	0.2590689136
866	0.2589273962
867	0.2587195605
868	0.2586513125
869	0.2585287342
870	0.2583403105
871	0.2580920167
872	0.2579165335
873	0.257766197
874	0.2575819347
875	0.2574027616
876	0.2572029154
877	0.2571151152
878	0.256944911
879	0.2568523567
880	0.2567954339
881	0.2566505227
882	0.2565358447
883	0.256411243
884	0.2562590237
885	0.2561457771
886	0.2559983948
887	0.2558112103
888	0.2557011161
889	0.255533162
890	0.2553404325
891	0.2551253907
892	0.2549906227
893	0.254846487
894	0.2547145701
895	0.2545695945
896	0.2544720555
897	0.2543067146
898	0.2541855952
899	0.2540529765
900	0.2538985204
901	0.2536780019
902	0.2535443823
903	0.2533834939
904	0.2531802778
905	0.2531236115
906	0.2530154547
907	0.252881616
908	0.2527308535
909	0.2525903973
910	0.2524505301
911	0.2523941823
912	0.2522615436
913	0.2522172991
914	0.2520458611
915	0.251861093
916	0.2518075883
917	0.2517374889
918	0.2516177596
919	0.2515210055
920	0.2513908816
921	0.2512925776
922	0.2511425545
923	0.2510472865
924	0.2509917037
925	0.2508848593
926	0.2507748775
927	0.250692131
928	0.250578725
929	0.2504234136
930	0.2503115501
931	0.2500984837
932	0.2499967354
933	0.2498717846
934	0.2497174791
935	0.2496294271
936	0.249441583
937	0.2492892976
938	0.2491693009
939	0.249084244
940	0.2489827932
941	0.24884023
942	0.2487051765
943	0.2486218761
944	0.2484827939
945	0.2483618202
946	0.248191526
947	0.248091326
948	0.2479407786
949	0.247805408
950	0.2476391342
951	0.2475453076
952	0.2474274683
953	0.2473153047
954	0.2472359139
955	0.2471466848
956	0.2469812055
957	0.2468571765
958	0.2466779461
959	0.2466150937
960	0.2464977327
961	0.2464019275
962	0.2463022064
963	0.2461893098
964	0.246059406
965	0.2460201236
966	0.2459592188
967	0.2458591292
968	0.2457871401
969	0.2456820675
970	0.2454760846
971	0.245368946
972	0.2452251937
973	0.2450800862
974	0.244966697
975	0.2448292449
976	0.2447540976
977	0.2446160798
978	0.2445115212
979	0.2444232105
980	0.244295815
981	0.2442177979
982	0.2441213007
983	0.2440266363
984	0.2438530742
985	0.2437679718
986	0.2436896075
987	0.2435395805
988	0.2434291856
989	0.2433160948
990	0.2431950277
991	0.243079008
992	0.2429670818
993	0.2428575907
994	0.2427428947
995	0.2426975314
996	0.2426274882
997	0.2425527875
998	0.242478375
999	0.2423635709
